"X","participant_id","option1","option2","option3","best_response","worst_response","best_rt","worst_rt","best","worst","run_id","section"
1,"sbj_blind_1","verde, lanterna","timone, coccodrillo","﻿anello, bidet",2,3,2355,1245,"timone, coccodrillo","﻿anello, bidet",1,"section 1"
2,"sbj_blind_1","succo, cassettiera","blu, ciliegio","pomodoro, ciliegio",3,1,1716,1441,"pomodoro, ciliegio","succo, cassettiera",1,"section 1"
3,"sbj_blind_1","cavolo, pomodoro","cucchiaio, blu","eccentrico, agenda",1,3,1960,1739,"cavolo, pomodoro","eccentrico, agenda",1,"section 1"
4,"sbj_blind_1","﻿anello, pidocchio","leone, bersaglio","lattuga, documento",1,3,2774,1073,"﻿anello, pidocchio","lattuga, documento",1,"section 1"
5,"sbj_blind_1","rana, bidet","verde, ciliegio","piatto, cassettiera",2,3,2284,1269,"verde, ciliegio","piatto, cassettiera",1,"section 1"
6,"sbj_blind_1","lavagna, succo","lattuga, bidet","coperta, timone",2,1,2912,1300,"lattuga, bidet","lavagna, succo",1,"section 1"
7,"sbj_blind_1","blu, sole","bidet, crostino","sole, ciliegio",3,2,3168,715,"sole, ciliegio","bidet, crostino",1,"section 1"
8,"sbj_blind_1","fiammifero, rana","forchetta, sole","eccentrico, equilibrio",3,1,2549,797,"eccentrico, equilibrio","fiammifero, rana",1,"section 1"
9,"sbj_blind_1","coperta, lattuga","menta, cassettiera","satellite, soglia",2,1,2363,778,"menta, cassettiera","coperta, lattuga",1,"section 1"
10,"sbj_blind_1","portafoglio, cavolo","pidocchio, cassettiera","coccodrillo, autorità",1,3,2474,1212,"portafoglio, cavolo","coccodrillo, autorità",1,"section 1"
11,"sbj_blind_1","panchina, appuntamento","gessetto, lavagna","fiammifero, appuntamento",2,3,1567,1418,"gessetto, lavagna","fiammifero, appuntamento",1,"section 1"
12,"sbj_blind_1","ciotola, lattuga","blu, sega","limone, posacenere",1,2,1928,662,"ciotola, lattuga","blu, sega",1,"section 1"
13,"sbj_blind_1","cuscino, pomodoro","giallo, mais","stuzzicadenti, eccentrico",2,3,2713,663,"giallo, mais","stuzzicadenti, eccentrico",1,"section 1"
14,"sbj_blind_1","pomodoro, sega","viola, bersaglio","lanterna, soglia",2,1,2195,519,"viola, bersaglio","pomodoro, sega",1,"section 1"
15,"sbj_blind_1","viola, limone","cucchiaio, portafoglio","lavagna, rosa",1,2,2801,897,"viola, limone","cucchiaio, portafoglio",1,"section 1"
16,"sbj_blind_1","lanterna, autorità","ciotola, spinaci","viola, eccentrico",2,1,2571,1109,"ciotola, spinaci","lanterna, autorità",1,"section 1"
17,"sbj_blind_1","stuzzicadenti, equilatero","agenda, appuntamento","giallo, menta",2,1,2089,737,"agenda, appuntamento","stuzzicadenti, equilatero",1,"section 1"
18,"sbj_blind_1","cavolo, damigiana","verde, rosa","portafoglio, succo",2,3,2469,528,"verde, rosa","portafoglio, succo",1,"section 1"
19,"sbj_blind_1","blu, lattuga","portafoglio, coccodrillo","mais, caramella",3,2,2200,672,"mais, caramella","portafoglio, coccodrillo",1,"section 1"
20,"sbj_blind_1","eccentrico, soglia","damigiana, satellite","stuzzicadenti, spinaci",2,1,2970,621,"damigiana, satellite","eccentrico, soglia",1,"section 1"
21,"sbj_blind_1","lanterna, panchina","braccialetto, cipolla","fiammifero, sega",1,3,2635,704,"lanterna, panchina","fiammifero, sega",1,"section 1"
22,"sbj_blind_1","panchina, caramella","timone, verde","succo, eccentrico",2,3,1887,573,"timone, verde","succo, eccentrico",1,"section 1"
23,"sbj_blind_1","caramella, damigiana","braccialetto, agenda","cavolo, lanterna",2,3,3029,1121,"braccialetto, agenda","cavolo, lanterna",1,"section 1"
24,"sbj_blind_1","penna, pidocchio","cipolla, sega","braccialetto, cucchiaio",2,3,2706,677,"cipolla, sega","braccialetto, cucchiaio",1,"section 1"
25,"sbj_blind_1","equilibrio, bersaglio","diario, autorità","rosa, mais",1,3,2263,493,"equilibrio, bersaglio","rosa, mais",1,"section 1"
26,"sbj_blind_1","panchina, agenda","blu, crostino","verde, viola",2,1,1893,1187,"blu, crostino","panchina, agenda",1,"section 1"
27,"sbj_blind_1","lattuga, soglia","rosa, cavolo","spremiagrumi, succo",3,1,1712,453,"spremiagrumi, succo","lattuga, soglia",1,"section 1"
28,"sbj_blind_1","cuscino, rosa","bersaglio, autostrada","fiammifero, documento",1,2,1812,534,"cuscino, rosa","bersaglio, autostrada",1,"section 1"
29,"sbj_blind_1","rosa, bersaglio","equilatero, appuntamento","blu, autostrada",1,3,3183,584,"rosa, bersaglio","blu, autostrada",1,"section 1"
30,"sbj_blind_1","penna, posacenere","gessetto, penna","verde, pidocchio",2,1,2129,624,"gessetto, penna","penna, posacenere",1,"section 1"
31,"sbj_blind_1","stuzzicadenti, satellite","giallo, bidet","eccentrico, bersaglio",3,2,1699,661,"eccentrico, bersaglio","giallo, bidet",1,"section 1"
32,"sbj_blind_1","menta, bidet","timone, autorità","penna, limone",3,1,2795,675,"penna, limone","menta, bidet",1,"section 1"
33,"sbj_blind_1","damigiana, ciliegio","bersaglio, documento","posacenere, equilibrio",3,1,2139,599,"posacenere, equilibrio","damigiana, ciliegio",1,"section 1"
34,"sbj_blind_1","braccialetto, satellite","mais, satellite","candela, lattuga",1,2,2451,708,"braccialetto, satellite","mais, satellite",1,"section 1"
35,"sbj_blind_1","rosa, menta","equilatero, damigiana","sole, documento",1,3,3147,504,"rosa, menta","sole, documento",1,"section 1"
