option1,option2,option3
verde,lanterna,timone,coccodrillo,﻿anello,bidet
succo,cassettiera,blu,ciliegio,pomodoro,ciliegio
cavolo,pomodoro,cucchiaio,blu,eccentrico,agenda
﻿anello,pidocchio,leone,bersaglio,lattuga,documento
rana,bidet,verde,ciliegio,piatto,cassettiera
lavagna,succo,lattuga,bidet,coperta,timone
blu,sole,bidet,crostino,sole,ciliegio
fiammifero,rana,forchetta,sole,eccentrico,equilibrio
coperta,lattuga,menta,cassettiera,satellite,soglia
portafoglio,cavolo,pidocchio,cassettiera,coccodrillo,autorità
panchina,appuntamento,gessetto,lavagna,fiammifero,appuntamento
ciotola,lattuga,blu,sega,limone,posacenere
cuscino,pomodoro,giallo,mais,stuzzicadenti,eccentrico
pomodoro,sega,viola,bersaglio,lanterna,soglia
viola,limone,cucchiaio,portafoglio,lavagna,rosa
lanterna,autorità,ciotola,spinaci,viola,eccentrico
stuzzicadenti,equilatero,agenda,appuntamento,giallo,menta
cavolo,damigiana,verde,rosa,portafoglio,succo
blu,lattuga,portafoglio,coccodrillo,mais,caramella
eccentrico,soglia,damigiana,satellite,stuzzicadenti,spinaci
lanterna,panchina,braccialetto,cipolla,fiammifero,sega
panchina,caramella,timone,verde,succo,eccentrico
caramella,damigiana,braccialetto,agenda,cavolo,lanterna
penna,pidocchio,cipolla,sega,braccialetto,cucchiaio
equilibrio,bersaglio,diario,autorità,rosa,mais
panchina,agenda,blu,crostino,verde,viola
lattuga,soglia,rosa,cavolo,spremiagrumi,succo
cuscino,rosa,bersaglio,autostrada,fiammifero,documento
rosa,bersaglio,equilatero,appuntamento,blu,autostrada
penna,posacenere,gessetto,penna,verde,pidocchio
stuzzicadenti,satellite,giallo,bidet,eccentrico,bersaglio
menta,bidet,timone,autorità,penna,limone
damigiana,ciliegio,bersaglio,documento,posacenere,equilibrio
braccialetto,satellite,mais,satellite,candela,lattuga
rosa,menta,equilatero,damigiana,sole,documento
fiammifero,rosa,cipolla,crostino,blu,panchina
timone,rosa,fiammifero,lanterna,viola,rosa
lattuga,autorità,pomodoro,eccentrico,﻿anello,timone
gessetto,crostino,portafoglio,spremiagrumi,gessetto,damigiana
cipolla,leone,verde,succo,penna,verde
﻿anello,succo,rana,autostrada,limone,caramella
coperta,bersaglio,giallo,rana,diario,piatto
eccentrico,autostrada,penna,bersaglio,spinaci,pidocchio
blu,soglia,rana,equilibrio,coccodrillo,crostino
succo,ciliegio,piatto,cavolo,cuscino,equilatero
mais,mappa,timone,spremiagrumi,timone,satellite
rosa,sole,fiammifero,lattuga,spinaci,damigiana
eccentrico,pidocchio,forchetta,spinaci,giallo,cassettiera
cuscino,ciliegio,crostino,equilibrio,piatto,spremiagrumi
menta,equilatero,lanterna,documento,mappa,libreria
forchetta,eccentrico,piatto,crostino,piatto,panchina
lanterna,mappa,bidet,bersaglio,succo,pomodoro
coperta,documento,satellite,documento,verde,rana
giallo,spinaci,verde,documento,mais,equilibrio
limone,lanterna,braccialetto,rosa,equilatero,pidocchio
fiammifero,penna,forchetta,bersaglio,piatto,coccodrillo
braccialetto,panchina,succo,agenda,rana,documento
fiammifero,stuzzicadenti,gessetto,limone,crostino,bersaglio
rana,sega,leone,eccentrico,crostino,damigiana
cavolo,bersaglio,stuzzicadenti,cavolo,equilibrio,autostrada
