"option1","option2","option3","word1","word2","word3","word4","word5","word6"
"verde, lanterna","timone, coccodrillo","﻿anello, bidet","verde","lanterna","timone","coccodrillo","﻿anello","bidet"
"succo, cassettiera","blu, ciliegio","pomodoro, ciliegio","succo","cassettiera","blu","ciliegio","pomodoro","ciliegio"
"cavolo, pomodoro","cucchiaio, blu","eccentrico, agenda","cavolo","pomodoro","cucchiaio","blu","eccentrico","agenda"
"﻿anello, pidocchio","leone, bersaglio","lattuga, documento","﻿anello","pidocchio","leone","bersaglio","lattuga","documento"
"rana, bidet","verde, ciliegio","piatto, cassettiera","rana","bidet","verde","ciliegio","piatto","cassettiera"
"lavagna, succo","lattuga, bidet","coperta, timone","lavagna","succo","lattuga","bidet","coperta","timone"
"blu, sole","bidet, crostino","sole, ciliegio","blu","sole","bidet","crostino","sole","ciliegio"
"fiammifero, rana","forchetta, sole","eccentrico, equilibrio","fiammifero","rana","forchetta","sole","eccentrico","equilibrio"
"coperta, lattuga","menta, cassettiera","satellite, soglia","coperta","lattuga","menta","cassettiera","satellite","soglia"
"portafoglio, cavolo","pidocchio, cassettiera","coccodrillo, autorità","portafoglio","cavolo","pidocchio","cassettiera","coccodrillo","autorità"
"panchina, appuntamento","gessetto, lavagna","fiammifero, appuntamento","panchina","appuntamento","gessetto","lavagna","fiammifero","appuntamento"
"ciotola, lattuga","blu, sega","limone, posacenere","ciotola","lattuga","blu","sega","limone","posacenere"
"cuscino, pomodoro","giallo, mais","stuzzicadenti, eccentrico","cuscino","pomodoro","giallo","mais","stuzzicadenti","eccentrico"
"pomodoro, sega","viola, bersaglio","lanterna, soglia","pomodoro","sega","viola","bersaglio","lanterna","soglia"
"viola, limone","cucchiaio, portafoglio","lavagna, rosa","viola","limone","cucchiaio","portafoglio","lavagna","rosa"
"lanterna, autorità","ciotola, spinaci","viola, eccentrico","lanterna","autorità","ciotola","spinaci","viola","eccentrico"
"stuzzicadenti, equilatero","agenda, appuntamento","giallo, menta","stuzzicadenti","equilatero","agenda","appuntamento","giallo","menta"
"cavolo, damigiana","verde, rosa","portafoglio, succo","cavolo","damigiana","verde","rosa","portafoglio","succo"
"blu, lattuga","portafoglio, coccodrillo","mais, caramella","blu","lattuga","portafoglio","coccodrillo","mais","caramella"
"eccentrico, soglia","damigiana, satellite","stuzzicadenti, spinaci","eccentrico","soglia","damigiana","satellite","stuzzicadenti","spinaci"
"lanterna, panchina","braccialetto, cipolla","fiammifero, sega","lanterna","panchina","braccialetto","cipolla","fiammifero","sega"
"panchina, caramella","timone, verde","succo, eccentrico","panchina","caramella","timone","verde","succo","eccentrico"
"caramella, damigiana","braccialetto, agenda","cavolo, lanterna","caramella","damigiana","braccialetto","agenda","cavolo","lanterna"
"penna, pidocchio","cipolla, sega","braccialetto, cucchiaio","penna","pidocchio","cipolla","sega","braccialetto","cucchiaio"
"equilibrio, bersaglio","diario, autorità","rosa, mais","equilibrio","bersaglio","diario","autorità","rosa","mais"
"panchina, agenda","blu, crostino","verde, viola","panchina","agenda","blu","crostino","verde","viola"
"lattuga, soglia","rosa, cavolo","spremiagrumi, succo","lattuga","soglia","rosa","cavolo","spremiagrumi","succo"
"cuscino, rosa","bersaglio, autostrada","fiammifero, documento","cuscino","rosa","bersaglio","autostrada","fiammifero","documento"
"rosa, bersaglio","equilatero, appuntamento","blu, autostrada","rosa","bersaglio","equilatero","appuntamento","blu","autostrada"
"penna, posacenere","gessetto, penna","verde, pidocchio","penna","posacenere","gessetto","penna","verde","pidocchio"
"stuzzicadenti, satellite","giallo, bidet","eccentrico, bersaglio","stuzzicadenti","satellite","giallo","bidet","eccentrico","bersaglio"
"menta, bidet","timone, autorità","penna, limone","menta","bidet","timone","autorità","penna","limone"
"damigiana, ciliegio","bersaglio, documento","posacenere, equilibrio","damigiana","ciliegio","bersaglio","documento","posacenere","equilibrio"
"braccialetto, satellite","mais, satellite","candela, lattuga","braccialetto","satellite","mais","satellite","candela","lattuga"
"rosa, menta","equilatero, damigiana","sole, documento","rosa","menta","equilatero","damigiana","sole","documento"
"fiammifero, rosa","cipolla, crostino","blu, panchina","fiammifero","rosa","cipolla","crostino","blu","panchina"
"timone, rosa","fiammifero, lanterna","viola, rosa","timone","rosa","fiammifero","lanterna","viola","rosa"
"lattuga, autorità","pomodoro, eccentrico","﻿anello, timone","lattuga","autorità","pomodoro","eccentrico","﻿anello","timone"
"gessetto, crostino","portafoglio, spremiagrumi","gessetto, damigiana","gessetto","crostino","portafoglio","spremiagrumi","gessetto","damigiana"
"cipolla, leone","verde, succo","penna, verde","cipolla","leone","verde","succo","penna","verde"
"﻿anello, succo","rana, autostrada","limone, caramella","﻿anello","succo","rana","autostrada","limone","caramella"
"coperta, bersaglio","giallo, rana","diario, piatto","coperta","bersaglio","giallo","rana","diario","piatto"
"eccentrico, autostrada","penna, bersaglio","spinaci, pidocchio","eccentrico","autostrada","penna","bersaglio","spinaci","pidocchio"
"blu, soglia","rana, equilibrio","coccodrillo, crostino","blu","soglia","rana","equilibrio","coccodrillo","crostino"
"succo, ciliegio","piatto, cavolo","cuscino, equilatero","succo","ciliegio","piatto","cavolo","cuscino","equilatero"
"mais, mappa","timone, spremiagrumi","timone, satellite","mais","mappa","timone","spremiagrumi","timone","satellite"
"rosa, sole","fiammifero, lattuga","spinaci, damigiana","rosa","sole","fiammifero","lattuga","spinaci","damigiana"
"eccentrico, pidocchio","forchetta, spinaci","giallo, cassettiera","eccentrico","pidocchio","forchetta","spinaci","giallo","cassettiera"
"cuscino, ciliegio","crostino, equilibrio","piatto, spremiagrumi","cuscino","ciliegio","crostino","equilibrio","piatto","spremiagrumi"
"menta, equilatero","lanterna, documento","mappa, libreria","menta","equilatero","lanterna","documento","mappa","libreria"
"forchetta, eccentrico","piatto, crostino","piatto, panchina","forchetta","eccentrico","piatto","crostino","piatto","panchina"
"lanterna, mappa","bidet, bersaglio","succo, pomodoro","lanterna","mappa","bidet","bersaglio","succo","pomodoro"
"coperta, documento","satellite, documento","verde, rana","coperta","documento","satellite","documento","verde","rana"
"giallo, spinaci","verde, documento","mais, equilibrio","giallo","spinaci","verde","documento","mais","equilibrio"
"limone, lanterna","braccialetto, rosa","equilatero, pidocchio","limone","lanterna","braccialetto","rosa","equilatero","pidocchio"
"fiammifero, penna","forchetta, bersaglio","piatto, coccodrillo","fiammifero","penna","forchetta","bersaglio","piatto","coccodrillo"
"braccialetto, panchina","succo, agenda","rana, documento","braccialetto","panchina","succo","agenda","rana","documento"
