"participant_id","option1","option2","option3","word1","word2","word3","word4","word5","word6"
"sbj_blind_1","verde, lanterna","timone, coccodrillo","﻿anello, bidet","verde","lanterna","timone","coccodrillo","﻿anello","bidet"
"sbj_blind_1","succo, cassettiera","blu, ciliegio","pomodoro, ciliegio","succo","cassettiera","blu","ciliegio","pomodoro","ciliegio"
"sbj_blind_1","cavolo, pomodoro","cucchiaio, blu","eccentrico, agenda","cavolo","pomodoro","cucchiaio","blu","eccentrico","agenda"
"sbj_blind_1","﻿anello, pidocchio","leone, bersaglio","lattuga, documento","﻿anello","pidocchio","leone","bersaglio","lattuga","documento"
"sbj_blind_1","rana, bidet","verde, ciliegio","piatto, cassettiera","rana","bidet","verde","ciliegio","piatto","cassettiera"
"sbj_blind_1","lavagna, succo","lattuga, bidet","coperta, timone","lavagna","succo","lattuga","bidet","coperta","timone"
"sbj_blind_1","blu, sole","bidet, crostino","sole, ciliegio","blu","sole","bidet","crostino","sole","ciliegio"
"sbj_blind_1","fiammifero, rana","forchetta, sole","eccentrico, equilibrio","fiammifero","rana","forchetta","sole","eccentrico","equilibrio"
"sbj_blind_1","coperta, lattuga","menta, cassettiera","satellite, soglia","coperta","lattuga","menta","cassettiera","satellite","soglia"
"sbj_blind_1","portafoglio, cavolo","pidocchio, cassettiera","coccodrillo, autorità","portafoglio","cavolo","pidocchio","cassettiera","coccodrillo","autorità"
"sbj_blind_1","panchina, appuntamento","gessetto, lavagna","fiammifero, appuntamento","panchina","appuntamento","gessetto","lavagna","fiammifero","appuntamento"
"sbj_blind_1","ciotola, lattuga","blu, sega","limone, posacenere","ciotola","lattuga","blu","sega","limone","posacenere"
"sbj_blind_1","cuscino, pomodoro","giallo, mais","stuzzicadenti, eccentrico","cuscino","pomodoro","giallo","mais","stuzzicadenti","eccentrico"
"sbj_blind_1","pomodoro, sega","viola, bersaglio","lanterna, soglia","pomodoro","sega","viola","bersaglio","lanterna","soglia"
"sbj_blind_1","viola, limone","cucchiaio, portafoglio","lavagna, rosa","viola","limone","cucchiaio","portafoglio","lavagna","rosa"
"sbj_blind_1","lanterna, autorità","ciotola, spinaci","viola, eccentrico","lanterna","autorità","ciotola","spinaci","viola","eccentrico"
"sbj_blind_1","stuzzicadenti, equilatero","agenda, appuntamento","giallo, menta","stuzzicadenti","equilatero","agenda","appuntamento","giallo","menta"
"sbj_blind_1","cavolo, damigiana","verde, rosa","portafoglio, succo","cavolo","damigiana","verde","rosa","portafoglio","succo"
"sbj_blind_1","blu, lattuga","portafoglio, coccodrillo","mais, caramella","blu","lattuga","portafoglio","coccodrillo","mais","caramella"
"sbj_blind_1","eccentrico, soglia","damigiana, satellite","stuzzicadenti, spinaci","eccentrico","soglia","damigiana","satellite","stuzzicadenti","spinaci"
"sbj_blind_1","lanterna, panchina","braccialetto, cipolla","fiammifero, sega","lanterna","panchina","braccialetto","cipolla","fiammifero","sega"
"sbj_blind_1","panchina, caramella","timone, verde","succo, eccentrico","panchina","caramella","timone","verde","succo","eccentrico"
"sbj_blind_1","caramella, damigiana","braccialetto, agenda","cavolo, lanterna","caramella","damigiana","braccialetto","agenda","cavolo","lanterna"
"sbj_blind_1","penna, pidocchio","cipolla, sega","braccialetto, cucchiaio","penna","pidocchio","cipolla","sega","braccialetto","cucchiaio"
"sbj_blind_1","equilibrio, bersaglio","diario, autorità","rosa, mais","equilibrio","bersaglio","diario","autorità","rosa","mais"
"sbj_blind_1","panchina, agenda","blu, crostino","verde, viola","panchina","agenda","blu","crostino","verde","viola"
"sbj_blind_1","lattuga, soglia","rosa, cavolo","spremiagrumi, succo","lattuga","soglia","rosa","cavolo","spremiagrumi","succo"
"sbj_blind_1","cuscino, rosa","bersaglio, autostrada","fiammifero, documento","cuscino","rosa","bersaglio","autostrada","fiammifero","documento"
"sbj_blind_1","rosa, bersaglio","equilatero, appuntamento","blu, autostrada","rosa","bersaglio","equilatero","appuntamento","blu","autostrada"
"sbj_blind_1","penna, posacenere","gessetto, penna","verde, pidocchio","penna","posacenere","gessetto","penna","verde","pidocchio"
